,0,1,2
0,1073,1497,1864
1,1072,1699,1736
2,1106,1814,1868
3,923,1385,1765
4,1907,2519,2782
5,1342,1843,2170
6,1506,2217,2306
7,1269,1927,2163
8,1072,1750,1827
9,1426,1889,2107
10,1183,1759,2021
11,1888,2576,2925
12,1063,1579,1957
13,1138,1736,2074
14,1129,1715,1894
15,807,1221,1449
16,1085,1489,1805
17,859,1199,1420
18,955,1357,1511
19,781,1293,1456
20,1018,1514,1679
21,968,1385,1616
22,861,4500,0
23,620,1168,1349
24,1069,875,1050
25,1209,1452,1662
26,1294,1842,1952
27,1068,1832,2055
28,1080,1440,1721
29,1000,1486,1795
30,1265,1412,1635
31,1316,1838,2051
32,948,1861,2173
33,910,1397,1548
34,933,1195,1533
35,1440,1195,1424
36,1442,1783,1968
37,1460,1884,1950
38,1100,1917,2007
39,957,1411,1449
40,1278,1235,1352
41,1165,1850,1987
42,996,1550,1864
43,833,1285,1452
44,1091,1093,1199
45,935,1454,1596
46,1057,1300,1469
47,1157,1304,1459
48,728,1552,1635
49,1018,1102,1207
50,925,1413,1705
51,0,1214,1415
52,0,0,0
