,0,1,2
0,893,949,1093
1,1151,0,1693
2,838,1528,1279
3,733,1067,1137
4,1124,974,1692
5,1284,1451,1931
6,1113,1650,1579
7,1123,1378,1498
8,1073,1259,1510
9,1117,1353,1599
10,1171,1407,1675
11,929,1422,1363
12,1066,1154,1571
13,824,1340,1270
14,718,1045,1109
15,819,924,1203
16,897,1052,1324
17,818,1064,1260
18,1012,1030,1488
19,653,1247,1051
20,958,839,1345
21,815,1130,1198
22,1008,998,1257
23,976,981,1367
24,741,1197,1182
25,910,960,1399
26,902,1115,1290
27,664,1081,1016
28,782,853,1134
29,1110,958,1636
30,1183,1441,1769
31,757,1475,1194
32,1388,977,1799
33,1475,1560,2070
34,995,1781,1349
35,1047,1180,1394
36,884,1216,1267
37,789,1090,1174
38,735,970,1124
39,996,931,1272
40,747,1119,1179
41,832,947,1214
42,777,1023,1296
43,568,1016,915
44,654,756,974
45,512,863,970
46,848,833,1326
47,705,1089,1085
48,1075,913,1293
49,1120,1161,1498
50,0,1301,0
51,0,0,0
52,0,0,0
