,0,1,2
0,1221,1746,1728
1,1435,1997,2190
2,1209,1597,1634
3,1443,2081,2289
4,1443,1868,1618
5,1140,1619,2054
6,1049,1475,1728
7,877,1243,1489
8,1228,2937,1499
9,1102,1639,1730
10,1196,1315,1385
11,1193,1669,1779
12,1033,1487,1665
13,1063,1400,1613
14,1116,1365,1671
15,1187,1522,1789
16,1520,1767,2065
17,1197,2210,2392
18,1090,1805,2030
19,1017,1458,1669
20,1131,1276,1467
21,1102,1474,1643
22,1290,1465,1709
23,1181,1719,1959
24,1054,1674,2031
25,1115,1363,1676
26,1050,1418,1594
27,1028,1329,1489
28,1204,1046,1375
29,1643,1652,1946
30,1821,2142,2254
31,1003,2347,2403
32,1663,1342,1628
33,1459,2261,2486
34,937,1862,2094
35,1671,1160,1299
36,1551,2286,2538
37,1181,1938,2163
38,1137,1688,1895
39,1073,1618,1834
40,1349,1495,1724
41,1160,1779,1918
42,910,1616,1828
43,0,1071,1199
44,0,0,0
45,0,0,0
46,0,0,0
