,0,1,2
0,1300,1874,1863
1,780,892,1136
2,701,890,1060
3,652,849,1067
4,613,770,973
5,548,641,786
6,821,997,1241
7,754,906,1157
8,1150,1415,1707
9,701,865,973
10,859,1026,1203
11,1126,1317,1523
12,1109,1292,1449
13,1381,1695,2030
14,1118,1315,1485
15,935,1058,1167
16,1216,1725,1952
17,1043,1223,1492
18,880,1043,1226
19,1144,1385,1579
20,620,762,888
21,807,1006,1208
22,1014,1184,1339
23,1079,1305,1547
24,720,899,1074
25,896,1179,1456
26,1160,1492,1819
27,1043,1253,1585
28,751,927,1127
29,1099,1348,1572
30,1041,1155,1370
31,1008,1288,1521
32,695,884,1079
33,748,962,1069
34,1233,1418,1591
35,1446,1752,1816
36,893,1116,1304
37,1469,1845,2179
38,1040,1233,1502
39,1064,3750,1875
40,1064,1272,1476
41,1151,1340,1584
42,1264,1369,1643
43,1049,1459,1664
44,989,1174,1373
45,1435,1294,1474
46,1060,1836,2124
47,1098,1384,1613
48,1017,1406,1735
49,975,1287,1524
50,1158,1234,1531
51,1008,1469,1844
52,1024,1100,1209
53,1112,1202,1428
54,1116,1424,1650
55,1232,1387,1636
56,1146,1653,2010
57,1061,1538,1801
58,1192,1449,1680
59,1357,1547,1911
60,1572,1663,1884
61,1668,1965,2195
62,1558,2122,2195
63,984,1961,2192
64,1331,1132,1200
65,1100,1614,1783
66,1155,1330,1541
67,1806,1356,1504
68,1423,2200,2410
69,1219,1797,2065
70,1115,1715,1892
71,1147,1488,1623
72,1212,1560,1816
73,1128,1735,1990
74,1743,1497,1830
75,1448,2047,2306
76,1961,1833,1976
77,1321,2352,2440
78,1791,1563,1731
79,1416,2329,2660
80,1088,1787,1996
81,1542,1242,1366
82,1654,1789,1916
83,1569,2103,2301
84,1225,1921,2006
85,1696,1694,1813
86,1271,1977,2311
87,1244,1713,1990
88,1636,1627,1813
89,1447,2022,2206
90,1312,1807,2149
91,1058,1709,2029
92,1158,1225,1501
93,1305,1429,1591
94,1646,1584,1822
95,1165,1997,2190
96,1510,1670,1842
97,785,1838,1852
98,1234,994,955
99,1086,1731,2015
100,1124,1468,1726
101,1122,1538,1856
102,934,1583,2047
103,704,1275,1535
104,1187,938,1177
105,1173,1551,1813
106,1163,1458,1697
107,1130,1457,1742
108,1424,1626,2071
109,1439,1704,1766
110,1696,1944,2182
111,528,1915,1858
112,869,633,572
113,1596,1230,1236
114,1125,1989,2285
115,1297,1563,1868
116,1282,1782,2039
117,1074,1740,1991
118,972,1433,1724
119,689,1268,1608
120,874,910,1240
121,880,1181,1441
122,737,1155,1427
123,445,972,1197
124,1045,0,262
125,1062,1172,1305
126,1231,1300,1543
127,1244,1524,1739
128,1079,1699,2008
129,1125,1401,1626
130,1170,1483,1715
131,887,3250,3249
132,926,1480,0
133,976,1278,1605
134,633,1232,1712
135,929,1283,1423
136,1030,733,1607
137,840,865,0
138,1095,1160,1086
139,770,612,1440
140,1144,1162,630
141,1634,1512,1483
142,1432,900,1720
143,1301,1368,1018
144,1164,2215,1500
145,1156,1860,2588
146,1189,1797,2089
147,1023,1611,2001
148,625,1571,1861
149,640,1634,1825
150,1035,1150,1905
151,1136,762,1291
152,735,786,922
153,587,1221,921
154,948,1842,1387
155,766,1470,2220
156,1569,929,1676
157,1402,792,1128
158,1063,1100,1051
159,981,919,1318
160,1129,1930,1112
161,765,1726,2147
162,740,1226,1927
163,1107,1204,1484
164,680,1388,1461
165,744,1004,1513
166,1229,867,1296
167,1454,1423,1017
168,1185,895,1586
169,1241,907,1156
170,1335,1541,1050
171,0,1730,1743
172,0,1491,2030
173,0,1505,1684
174,0,1375,1654
175,0,1534,1812
176,0,0,2071
177,0,0,0
178,0,0,0
