,2009,2010,2011,2012,2013,2014,2015,2016
"Carlstadt borough, Bergen County, New Jersey",78097,77720,86087,91518,89008,94476,92733,99652
"Cliffside Park borough, Bergen County, New Jersey",82755,82919,81745,82157,84251,82458,86493,87697
"East Rutherford borough, Bergen County, New Jersey",73709,72450,74589,77222,84793,87183,93248,89815
"Edgewater borough, Bergen County, New Jersey",107783,110818,116467,122411,132042,131797,132004,132425
"Englewood Cliffs borough, Bergen County, New Jersey",178833,168543,186010,186616,184389,195479,198910,184956
"Fairview borough, Bergen County, New Jersey",56934,60653,61894,64313,64892,65208,67097,66816
"Fort Lee borough, Bergen County, New Jersey",97030,96097,96135,97102,96952,90577,96943,101429
"Lyndhurst township, Bergen County, New Jersey",83574,83400,88673,86122,86920,86441,87021,89997
"North Arlington borough, Bergen County, New Jersey",87469,85142,87203,93617,86234,84670,84570,93404
"Ridgefield borough, Bergen County, New Jersey",76400,76128,78718,80959,82073,84867,84479,89727
"Rutherford borough, Bergen County, New Jersey",107288,105531,105456,107532,109159,104237,107845,112027
"Newark city, Essex County, New Jersey",46829,47328,48319,46953,46561,46226,45925,46417
"Bayonne city, Hudson County, New Jersey",65808,68321,71001,71896,70866,70258,70141,72125
"East Newark borough, Hudson County, New Jersey",60089,66896,68267,71258,66959,71038,65670,78572
"Harrison town, Hudson County, New Jersey",59082,61197,64714,67230,66436,67108,71279,72390
"Hoboken city, Hudson County, New Jersey",138534,137166,142609,143228,145377,143819,151023,157923
"Jersey City city, Hudson County, New Jersey",73933,76591,80702,81453,82617,83238,84412,88455
"Kearny town, Hudson County, New Jersey",70613,70613,73412,75689,75293,75999,75763,75787
"North Bergen township, Hudson County, New Jersey",66331,68554,70116,70809,70256,69685,70022,71224
"Secaucus town, Hudson County, New Jersey",95375,98496,100758,103461,105975,104601,108880,118488
"Union City city, Hudson County, New Jersey",51729,51251,51598,53868,55061,55416,55511,57765
"Weehawken township, Hudson County, New Jersey",95138,96300,100588,106163,109652,118766,117049,125258
"West New York town, Hudson County, New Jersey",60205,63818,63430,65206,67047,67477,66341,69618
"Elizabeth city, Union County, New Jersey",54903,55289,57206,56765,56548,56950,56131,55355
"Bronx borough, Bronx County, New York",46803,47325,48609,48852,49421,49661,50191,51445
"Brooklyn borough, Kings County, New York",61578,62656,64845,65770,67629,69599,71957,75810
"Manhattan borough, New York County, New York",124930,122620,127411,128721,130490,132838,135687,138748
"Queens borough, Queens County, New York",69200,70208,72324,72891,73521,74140,75162,77515
"Staten Island borough, Richmond County, New York",86147,86604,88221,89078,89552,90681,90236,92152
