,0,1,2
0,1562,1887,2250
1,1453,1776,2066
2,1263,1685,2001
3,1310,1603,1476
4,1620,1939,2160
5,1980,2023,2202
6,1271,1560,1926
7,1634,1953,2467
8,1492,1864,2274
9,1884,2231,2531
10,2201,2513,2542
11,1688,1927,2228
12,1401,1742,2214
13,1162,1478,1805
14,1670,1987,2291
15,1458,1739,2048
16,1157,1371,1645
17,2397,2611,3010
18,1940,2217,2313
19,2220,2485,2532
20,1733,2136,2511
21,1551,1917,2287
22,2088,2554,3384
23,1562,1972,2382
24,1517,1929,2328
25,1884,2252,2469
26,1195,1520,1807
27,1861,2268,2443
28,2090,2449,2675
29,2075,2544,2693
30,1339,1571,1834
31,1077,1342,1574
32,1136,1511,1783
33,1159,1469,1809
34,1170,1525,1917
35,785,558,1453
36,2088,2532,2628
37,2172,2563,2846
38,1680,2208,2620
39,1591,2085,2449
40,1602,1991,2268
41,1715,2059,2219
42,1599,1905,2158
43,1161,1450,1709
44,998,1274,1696
45,1075,1285,1553
46,1046,1294,1620
47,1332,1671,1999
48,1698,2121,2344
49,1884,2345,2739
50,1415,1658,1909
51,1737,2337,2735
52,1875,2307,2569
53,1694,2159,2400
54,1115,1376,1617
55,1108,1433,1724
56,1286,1388,1639
57,1068,1380,1712
58,861,1031,1237
59,811,1064,1326
60,910,1286,1536
61,1701,2118,2005
62,1556,1909,2183
63,1823,2289,2416
64,2387,2625,3344
65,1436,2468,2649
66,1029,1801,2042
67,992,1222,1498
68,807,1099,1296
69,811,960,1155
70,736,954,1168
71,941,968,1240
72,1075,1153,1480
73,1564,1388,1723
74,1763,1716,1835
75,1799,2117,2316
76,1224,2235,2361
77,1139,1562,1883
78,1154,1372,1743
79,763,1388,1567
80,603,896,1077
81,801,668,844
82,852,1048,1225
83,860,980,1203
84,823,1037,1323
85,1151,960,1190
86,1490,1464,1883
87,1811,1830,2110
88,1757,5000,0
89,1793,2424,2415
90,786,2177,2349
91,1408,2188,2367
92,974,950,1159
93,698,1783,2093
94,1176,1246,1411
95,796,857,1080
96,851,1324,1464
97,692,981,1178
98,1106,1003,1220
99,1006,858,1036
100,1435,1377,1724
101,1903,1184,1398
102,885,1781,2098
103,1089,2463,2522
104,1002,1093,1365
105,899,1302,1603
106,1406,1205,2280
107,1022,1168,1378
108,1080,1055,1255
109,977,1680,1851
110,983,1247,1580
111,1042,1288,1536
112,804,1136,1395
113,933,1173,1458
114,1046,1258,1564
115,1171,987,1192
116,1726,1134,1440
117,1291,1295,1597
118,1072,1508,1846
119,1068,2150,2353
120,1139,1732,2164
121,2027,1256,1446
122,1127,1293,1518
123,1823,1394,1757
124,1186,2472,2685
125,1046,1442,1733
126,1006,2191,2400
127,1077,1578,1919
128,1121,1303,1591
129,778,1171,1422
130,1119,1366,1602
131,1041,1370,1793
132,1161,945,1239
133,1490,1394,1681
134,1112,1313,1632
135,868,1572,1940
136,1267,1911,2273
137,1444,1385,1571
138,1300,994,1216
139,1057,1525,1853
140,1036,1874,2165
141,1036,1633,1946
142,1056,1266,1560
143,1050,1272,1612
144,1121,1257,1540
145,1210,1411,1763
146,1673,1405,1812
147,2093,1540,1811
148,1200,1688,1968
149,1416,2086,2337
150,1231,2597,2873
151,1698,1514,1693
152,1031,1746,2051
153,1109,1510,1768
154,1209,2172,2615
155,1340,1259,1532
156,1442,1481,1955
157,1565,1684,2092
158,1121,1740,2070
159,1935,1803,2179
160,525,1950,1782
161,1131,1418,1752
162,1243,2543,2672
163,1197,657,785
164,977,1372,1653
165,1697,1541,1856
166,1653,1626,2028
167,1147,1197,1500
168,938,2053,2375
169,1736,2292,2482
170,1190,1459,1223
171,1025,1750,0
172,1097,1099,1230
173,957,2184,2280
174,765,1524,1906
175,1083,1234,1639
176,1379,1432,1736
177,1090,1138,1273
178,1187,1184,1623
179,1452,1447,1821
180,1419,1796,2150
181,1706,1422,1943
182,1147,1605,1898
183,1515,1885,2277
184,1417,1857,2226
185,1868,556,72
186,1859,2114,2399
187,1408,1523,1861
188,2057,2049,2450
189,1811,1785,2157
190,1630,2181,2529
191,2020,2276,2628
192,0,1910,2325
193,0,2566,2892
194,0,2287,2478
195,0,1906,2270
196,0,2422,2815
197,0,0,0
198,0,0,0
